"#filename","previous_sentence","following_sentence","comment_if_any","pause_content","pause_length_ms","postP23visual","postP23quality","postP23audio"
"cropped_2010-12-30_181-35_182-79.mp4","Deutschland braucht Europa und unsere gemeinsame Währung. Für unser eigenes Wohlergehen wie auch um weltweit große Aufgaben zu bewältigen.","Wir Deutsche nehmen unsere Verantwortung wahr, auch wenn sie manchmal sehr schwer ist. Unsere Soldatinnen und","","m","144","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_188-97_189-72.mp4","große Aufgaben zu bewältigen. Wir Deutsche nehmen unsere Verantwortung wahr – auch wenn sie manchmal sehr schwer ist.","Unsere Soldatinnen und Soldaten in Afghanistan mussten in diesem Jahr den Tod von neun Kameraden verkraften.","","m","75","Merkel","Cut or Zoom","Merkel"
"cropped_2010-12-30_196-35_197-01.mp4","auch wenn sie manchmal sehr schwer ist. Unsere Soldatinnen und Soldaten in Afghanistan mussten in diesem Jahr den Tod von neun Kameraden verkraften.","Auch wenn kein Wort von mir das Leid der Familien und Freunde der Gefallenen tatsächlich mildern kann, will","","m","66","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_202-86_203-55.mp4","in diesem Jahr den Tod von neun Kameraden verkraften. Auch wenn kein Wort von mir das Leid der Familien und Freunde der Gefallenen tatsächlich mildern kann.","Will ich von Herzen sagen, ich vergesse sie nicht. Auch die körperlich und seelisch Verwundeten vergesse ich","","m","69","Merkel","Cut or Zoom","Merkel"
"cropped_2010-12-30_206-94_207-96.mp4","Auch wenn kein Wort von mir das Leid der Familien und Freunde der Gefallenen tatsächlich mildern kann, will ich von Herzen sagen, ich vergesse sie nicht.","Auch die körperlich und seelisch Verwundeten vergesse ich nicht. Ich hoffe so sehr, dass sie rasch wieder","","m","102","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_211-41_211-95.mp4","mildern kann, will ich von Herzen sagen, ich vergesse sie nicht. Auch die körperlich und seelisch Verwundeten vergesse ich nicht.","Ich hoffe so sehr, dass Sie rasch wieder gesund werden können. Die Soldatinnen und Soldaten in Afghanistan","","m","54","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_215-82_216-93.mp4","sie nicht. Auch die körperlich und seelisch Verwundeten vergesse ich nicht. Ich hoffe so sehr, dass sie rasch wieder gesund werden können.","Die Soldatinnen und Soldaten in Afghanistan haben mir erzählt, dass viele Menschen, auch ganz Unbekannte,","","m","111","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_235-53_236-28.mp4","Päckchen geschickt haben. Und Sie haben mich ausdrücklich darum gebeten, Ihnen allen dafür zu danken. Das tue ich hiermit sehr, sehr gerne.","Liebe Mitbürgerinnen und Mitbürger, so wie wir mit Hoffnung in die Zukunft blicken, so tun das auch die","","m","75","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_245-04_245-55.mp4","Liebe Mitbürgerinnen und Mitbürger, so wie wir mit Hoffnung in die Zukunft blicken, so tun das auch die Menschen in anderen Teilen der Welt.","Auch Sie haben Vorstellungen davon, wie sich Ihr Land erfolgreich entwickeln soll. Damit fordern Sie auch uns","","m","51","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_249-93_250-44.mp4","in die Zukunft blicken. So tun das auch die Menschen in anderen Teilen der Welt. Auch sie haben Vorstellungen davon, wie sich ihr Land erfolgreich entwickeln soll.","Damit fordern sie auch uns Deutsche heraus, nicht etwa stehen zu bleiben. Die christlich-liberale","","m","51","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_255-03_256-05.mp4","Auch Sie haben Vorstellungen davon, wie sich Ihr Land erfolgreich entwickeln soll. Damit fordern Sie auch uns Deutsche heraus, nicht etwa stehen zu bleiben.","Die christlich-liberale Bundesregierung setzt deshalb alles daran, im kommenden Jahr wichtige Etappenziele zu","","m","102","Merkel","Cut or Zoom","Merkel"
"cropped_2010-12-30_263-25_264-27.mp4","nicht etwa stehen zu bleiben. Die christlich-liberale Bundesregierung setzt deshalb alles daran, im kommenden Jahr wichtige Etappenziele zu erreichen.","Das Wohl allerwichtigste, noch mehr Menschen sollen Arbeit bekommen können. Auch werden wir unsere Finanzen","","m","102","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_269-13_269-91.mp4","im kommenden Jahr wichtige Etappenziele zu erreichen. Das wohl Allerwichtigste, noch mehr Menschen sollen Arbeit bekommen können.","Auch werden wir unsere Finanzen weiter in Ordnung bringen und die Steuern vereinfachen. Wir wollen unser","","m","78","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_274-44_275-37.mp4","Das Wohl allerwichtigste, noch mehr Menschen sollen Arbeit bekommen können. Auch werden wir unsere Finanzen weiter in Ordnung bringen und die Steuern vereinfachen.","Wir wollen unser Gesundheits- und Pflegesystem weiter verbessern, damit auch in Zukunft jeder Mensch die","","m","93","Merkel","Perfectly clear","Merkel"
"cropped_2010-12-30_285-33_286-05.mp4","Wir wollen unser Gesundheits- und Pflegesystem weiter verbessern, damit auch in Zukunft jeder Mensch die Gesundheitsversorgung und Pflege bekommt, die er braucht.","Wir wollen den Zusammenhalt in unserem Land stärken, gerade zwischen denen, deren Familien immer schon hier","","m","72","Merkel","Perfectly clear","Merkel"
